Region,Service,Monthly,First 12 months total,Currency,Configuration summary
US East (N. Virginia),Amazon EC2,1192,14304.00,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m4.xlarge)"
US East (N. Virginia),Amazon EC2,1145.28,13743.36,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m5.xlarge)"
US East (N. Virginia),Amazon RDS for PostgreSQL,8381.16,100573.92,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB per month), Nodes (1), Instance Type (db.m5.16xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (200 GB)"
US East (N. Virginia),S3 Standard,120.37,1444.44,USD,S3 Standard storage (1000 GB per month)
US East (N. Virginia),Application Load Balancer,2352.43,28229.16,USD,Number of Application Load Balancers (1)
US East (N. Virginia),Network Load Balancer,1549.43,18593.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (350 GB per hour), Average number of new TCP connections (10000 per second), Average TCP connection duration (2 seconds)"
US East (N. Virginia),Amazon Route 53,548.8,6585.60,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (6)"
US East (N. Virginia),Amazon Virtual Private Cloud (VPC),987.3,11847.60,USD,Number of NAT Gateways (2)
US East (N. Virginia),Amazon CloudWatch,16.310.000.000.000.000,1957.20,USD,"Number of Metrics (includes detailed and custom metrics) (15), Standard Logs: Data Ingested (200 GB), Number of Custom/Cross-account events (200000), Number of Dashboards (6), Number of composite alarms (5), Number of Standard Resolution Alarm Metrics (120), Logs Delivered to S3: Data Ingested (100 GB)"
US East (N. Virginia),Amazon RDS for PostgreSQL,2102.04,25224.48,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB per month), Nodes (1), Instance Type (db.m5.8xlarge), Deployment Option (Single-AZ), Pricing Model (OnDemand)"
,,,,,
Total,,18541.91,,USD,
,,,,,
,,EC2- Increased number of instances from 5 to 8 and upgraded to m4.xlarge for the Web Servers and m5.xlarge for the Application Servers,,,
,,RDS - Upgraded to db.m5.16xlarge (master) and db.m5.8xlarge (replica) instance. Changed master to Multi-AZ deployment,,,
,,Route 53 - Increased number of Elastic Network Instances from 4 to 6,,,
,,VPC - Increased number of NAT Gateways from 1 to 2,,,
,,Network Load Balancer - Increased number of processed bytes for TCP,,,
,,CouldWatch - Increased number of dashboards/metrics/logs,,,